ID,Name,Lat,Lon
74230,Miles City,46.4333,-105.8833
74341,"Wood Lake, Mn.",44.6667,-95.45
74357,"Blue River, Wi.",43.2167,-90.5333
74365,Graying Air Force Range,44.8333,-84.55
74370,Fort Drum / Wheeler-Sack U. S. Army Airfield,44.05,-75.7333
74389,"Gray, Me.",43.9,-70.25
74392,Brunswick Naval Air Stn,43.9,-69.1
74393,"Portland, Me.",43.5333,-70.1
74413,"Saylor Creek Gunneryrange, Id.",42.5333,-115.7
74420,Roosevelt,40.3,-109.9833
74421,"Craig, County",40.5,-107.5167
74431,"Medicine Bow, Wy.",41.9,-106.1833
74433,McCook,40.0833,-100.65
74437,"Merriman, Ne.",42.9,-101.7
74440,"Fairbury, Ne.",40.1,-97.3333
74445,"Neligh, Ne.",42.2,-97.8
74449,"Slater, Ia.",41.9,-93.7
74455,"Davenport, Ia.",41.6167,-90.5833
74460,Marseilles Island,41.3667,-88.6833
74465,Dunne Crib Il.,41.7833,-87.5333
74466,"Wolcott, In.",40.8167,-87.05
74468,"Jefferson Proving Ground Madison, In.",38.8333,-85.4167
74480,"Verona, Ny. Af",43.1333,-75.6
74483,"Wilmington, Vt.",42.8833,-72.8833
74484,"West Dover, Vt.",42.9333,-72.8667
74486,John F. Kennedy Airport,40.6333,-73.7667
74490,Bedford Hanscom Field,42.4667,-71.3
74491,Chicopee Falls / Westover Air Force Base,42.2,-72.5333
74492,Blue Hill Obs. Ma.,42.2167,-71.1167
74494,Chatham,41.6667,-69.9667
74500,"Sheridan, Ca",39,-121.3333
74501,"Freshpond, Ca",38.75,-120.5167
74504,"Pilar Point Airways Facilities Sector, Ca.",37.5,-122.5
74506,Alameda Naval Air Station,37.7833,-122.3167
74509,Moffett Field,37.4333,-122.05
74516,Fairfield / Travis Air Force Base,38.2667,-121.95
74521,"Durango, County",37.2,-107.8167
74530,"Granada, Co.",37.7667,-102.1833
74531,Air Force Academy,38.9667,-104.8167
74532,"Limon, County",39.1833,-103.7
74533,"Platteville, Co.",40.1833,-104.7167
74541,"Haviland, Ks.",37.65,-99.0833
74542,"Neodesha, Ks.",37.3667,-95.6333
74543,Pratt Municipal,37.7,-98.75
74545,"Smokey Hill Gunnery Range, Ks.",38.65,-97.8
74546,"Hillsboro, Ks.",38.3167,-97.3
74550,"Conway, Mo.",37.5167,-92.7
74551,"Lathrop, Mo.",39.5833,-94.1833
74556,"Winchester, Il.",39.65,-90.4833
74560,"Lincoln, Il.",40.15,-89.3333
74570,Dayton / Wright-Patterson Air Force Base,39.8333,-84.05
74589,"Chesapeake, Va.",36.9,-75.7167
74590,Barnegat Coast Guard Station,39.7667,-74.1
74594,Camp Springs / Andrews Air Force Base,38.8167,-76.85
74595,Ocean City,38.3333,-75.0833
74598,Langley Air Force Base,37.0833,-76.35
74604,"Vandenberg Air Force Base, Ca.",34.7833,-120.5333
74606,South Vandenberg Afbca.,34.65,-120.5667
74611,"Fort Irwin/Barstow, Bicycle Lake Army Airfield",35.2833,-116.6167
74612,Naws China Lake,35.6833,-117.7
74614,"Indian Springs, Indian Springs Auxiliary Afld Nellis Afb",36.5833,-115.6667
74618,Cuddleback Gunnery Range,35.2667,-117.4333
